"","self_spending","self_defense","self_medical","self_job","self_blacks","self_business","fed_socSecurity","fed_publicSch","fed_border","fed_crime","fed_welfare","fed_highway","fed_povertyAid","fed_environment","resid_Place","resid_identity","FT_DemParty","FT_RepParty","FT_Joe_pre","FT_Trump_pre","FT_Joe_post","FT_Trump_post","FT_rural","FT_OutParty","rural_get_more","rural_influence","rural_respect","rr_work","rr_slavery","rr_less","rr_harder","gender_factor","educ_factor","race_factor","Church_factor","PARTY","pid7","BIDEN","TRUMP"
"20",4,4,4,4,4,4,2,2,3,2,3,2,3,1,"Suburb","Suburb Person",85,30,70,15,85,0,85,30,4,2,6,3,2,2,4,"Female","High School","White","Every week","Democrat",2,TRUE,FALSE
"21",4,6,5,7,6,3,5,2,1,1,5,2,3,2,"Small Town","Small Town Person",0,100,0,95,0,95,100,0,6,6,6,2,3,2,2,"Male","Graduate Degree","Hispanic","A few times a year","Republican",7,FALSE,FALSE
"22",7,1,1,2,1,2,1,1,1,3,3,3,1,1,"Rural Area","City Person",70,15,75,0,80,0,70,15,5,5,4,5,1,1,5,"Female","Less than High School","Hispanic","Every week","Democrat",1,TRUE,FALSE
"23",6,1,1,1,3,1,1,1,3,4,1,2,1,1,"City","City Person",25,0,40,5,70,0,50,0,1,2,5,4,2,3,5,"Male","Bachelor's Degree","White",NA,"Democrat",3,TRUE,FALSE
"24",NA,NA,7,7,NA,7,1,1,1,1,3,1,3,5,"City","Small Town Person",30,85,0,100,50,50,NA,30,4,4,4,3,3,3,3,"Male","Graduate Degree","White","Every week","Republican",7,FALSE,FALSE
"25",5,2,1,4,2,1,1,1,4,3,1,1,2,1,"City","City Person",60,15,0,15,50,0,50,15,5,5,4,2,2,3,3,"Female","Less than High School","Hispanic",NA,"Democrat",2,FALSE,FALSE
"26",5,4,1,3,3,2,2,2,3,3,3,2,2,2,"Suburb","Suburb Person",80,15,85,0,85,0,60,15,4,4,4,5,2,2,5,"Male","Bachelor's Degree","White",NA,"Democrat",1,TRUE,FALSE
"27",NA,6,4,6,NA,6,1,1,3,3,3,3,3,1,"Suburb","Country Person",20,100,0,100,15,85,85,20,6,4,6,1,3,4,3,"Female","Less than High School","White","Every week","Republican",5,FALSE,TRUE
"28",5,4,4,5,4,3,3,2,3,1,3,3,2,2,"Suburb","Country Person",40,50,50,60,30,50,60,40,5,6,6,2,2,3,2,"Male","Bachelor's Degree","White",NA,"Republican",5,FALSE,TRUE
"29",6,5,4,3,2,1,3,1,3,3,2,1,1,1,"Rural Area","Suburb Person",60,0,70,NA,75,0,85,60,2,1,6,5,1,1,4,"Male","Graduate Degree","White",NA,"Republican",6,TRUE,FALSE
"30",NA,NA,3,4,5,4,1,1,4,2,4,2,2,1,"Suburb","City Person",60,30,70,0,85,0,50,30,4,4,4,1,4,5,2,"Male","High School","Hispanic",NA,"Democrat",1,TRUE,FALSE
"31",7,NA,4,NA,7,NA,1,3,4,4,1,1,1,1,"Suburb","Country Person",0,0,0,85,15,NA,NA,0,7,7,4,3,2,2,3,"Female","High School","Asian","A few times a year","Independent",4,FALSE,FALSE
"32",1,1,7,7,7,1,1,5,5,5,5,3,5,5,"Small Town","City Person",0,0,0,0,0,0,50,0,7,4,4,3,3,3,3,"Male","Some College","Native American",NA,"Independent",4,FALSE,FALSE
"33",4,2,5,5,3,1,2,1,1,2,5,1,2,1,"City","Small Town Person",70,15,85,0,100,0,40,15,3,2,4,4,2,3,5,"Female","Graduate Degree","White",NA,"Democrat",1,TRUE,FALSE
"34",4,5,7,7,5,5,2,2,1,1,5,3,2,3,"Small Town","Suburb Person",0,70,0,100,NA,100,100,0,7,6,7,2,4,5,3,"Male","Bachelor's Degree","White","A few times a year","Republican",7,FALSE,TRUE
"35",5,4,1,3,1,1,3,1,3,4,1,1,2,2,"City","City Person",60,15,85,0,100,0,50,15,4,4,4,5,1,1,5,"Female","Graduate Degree","White","A few times a year","Democrat",2,TRUE,FALSE
"36",4,5,7,7,7,NA,3,2,1,1,3,3,3,2,"Suburb","Suburb Person",0,85,0,85,30,85,100,0,4,4,4,1,4,3,2,"Female","Bachelor's Degree","White","A few times a year","Republican",7,FALSE,TRUE
"37",7,4,1,1,4,6,1,1,4,3,3,3,1,2,"City","City Person",60,40,60,15,100,40,NA,40,5,7,5,5,3,2,5,"Female","Some College","Black","Every week","Democrat",1,TRUE,FALSE
"38",6,3,1,3,2,2,3,1,5,5,2,3,2,1,"Suburb","City Person",40,10,40,0,60,0,60,10,7,2,5,5,1,1,5,"Female","Graduate Degree","White",NA,"Democrat",3,TRUE,FALSE
"39",7,1,1,1,1,1,1,1,5,3,1,2,1,1,"Small Town",NA,85,0,85,0,100,0,NA,0,4,2,5,4,1,1,1,"Female","Graduate Degree","White",NA,"Democrat",1,TRUE,FALSE
"40",4,4,5,6,3,5,3,3,1,3,3,1,3,3,"Suburb","Suburb Person",0,60,0,100,15,100,50,0,4,NA,6,2,3,3,4,"Male","Bachelor's Degree","White",NA,"Republican",7,FALSE,TRUE
"41",2,NA,4,5,6,4,3,2,2,1,4,3,3,3,"Suburb","Suburb Person",30,85,15,70,15,70,85,30,NA,6,5,2,2,3,2,"Female","Bachelor's Degree","White","Almost every week","Republican",7,FALSE,TRUE
"42",7,NA,1,3,4,3,1,1,4,2,1,2,1,2,"City","Something else",78,NA,80,5,100,10,NA,NA,4,4,4,3,3,2,3,"Female","Some College","Black","Every week","Democrat",1,TRUE,FALSE
"43",1,5,7,7,6,7,5,5,1,1,5,2,4,5,"City","Suburb Person",0,15,0,100,0,100,100,0,4,7,7,2,5,3,2,"Male","Graduate Degree","White",NA,"Republican",7,FALSE,TRUE
"44",2,6,7,7,7,7,1,3,1,1,5,3,3,5,"Small Town","City Person",10,95,0,98,0,100,100,10,4,5,4,1,5,5,1,"Female","Bachelor's Degree","White",NA,"Republican",7,FALSE,TRUE
"45",4,4,4,4,4,4,3,4,1,1,4,3,3,2,"Small Town","Country Person",40,85,50,85,50,70,50,40,4,4,4,3,3,3,3,"Female","Some College","White",NA,"Republican",5,FALSE,TRUE
"46",4,6,NA,NA,7,7,3,1,1,1,5,1,4,3,"Rural Area","Small Town Person",0,100,0,100,0,85,100,0,4,6,6,3,3,3,3,"Male","High School","White","Never","Republican",7,FALSE,TRUE
"47",5,3,5,6,4,2,2,2,3,3,3,1,2,1,"Small Town","Small Town Person",85,0,85,0,100,0,40,0,4,4,5,3,1,2,5,"Male","Some College","White","Every week","Democrat",1,TRUE,FALSE
"48",4,3,4,4,3,1,3,1,4,3,3,3,3,1,"Rural Area","City Person",80,0,75,0,90,0,40,0,3,1,3,4,2,3,2,"Male","Bachelor's Degree","White",NA,"Democrat",3,TRUE,FALSE
"49",7,4,5,4,6,4,3,2,3,3,5,1,3,3,"City","City Person",20,100,15,80,20,95,NA,20,6,6,4,2,5,4,4,"Female","Bachelor's Degree","Asian","Every week","Republican",7,FALSE,TRUE
"50",6,3,1,3,4,3,2,1,4,2,3,1,2,2,"Suburb","Suburb Person",70,30,100,0,85,0,60,30,4,4,4,2,2,2,4,"Male","Graduate Degree","White","A few times a year","Democrat",3,TRUE,FALSE
"51",7,4,1,1,1,1,4,2,3,3,4,1,1,1,"City","Suburb Person",100,70,100,15,100,0,0,70,6,6,4,5,1,1,5,"Female","Some College","Native American","Every week","Democrat",1,FALSE,FALSE
"52",5,4,1,4,3,1,1,1,3,3,1,1,1,1,"City","Suburb Person",80,0,100,0,90,0,55,0,6,1,2,5,1,1,5,"Female","Graduate Degree","Black",NA,"Democrat",1,TRUE,FALSE
"53",5,3,2,5,5,5,3,2,1,3,3,3,2,1,NA,NA,50,50,100,85,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,"Female","Less than High School","White","A few times a year","Independent",4,FALSE,FALSE
"54",7,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,"City","Small Town Person",0,70,0,100,0,100,70,0,4,7,7,4,3,1,2,"Male","High School","White","Every week","Republican",7,FALSE,FALSE
"55",2,6,7,7,7,7,1,2,1,1,3,1,3,3,"Rural Area","Country Person",0,70,0,85,0,100,100,0,6,7,7,1,5,5,2,"Female","Some College",NA,"Every week","Independent",4,FALSE,FALSE
"56",3,4,5,7,3,5,2,2,2,1,3,1,3,2,NA,NA,40,70,30,85,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,"Male","Some College","White",NA,"Republican",7,FALSE,FALSE
"57",5,5,4,4,3,3,3,3,3,2,3,3,2,2,"Suburb","City Person",70,45,75,15,85,0,80,45,5,4,5,2,5,4,2,"Female","Graduate Degree","White","Every week","Democrat",1,TRUE,FALSE
"58",4,3,3,4,2,3,1,1,3,3,2,1,3,2,"City","City Person",70,15,85,0,85,0,60,15,4,1,7,4,2,3,4,"Male","Graduate Degree","White","A few times a year","Democrat",3,TRUE,FALSE
"59",6,NA,NA,NA,NA,5,2,2,1,1,3,2,2,1,"Small Town","Country Person",40,70,60,30,70,0,40,40,6,6,6,1,4,4,2,"Male","High School","White","A few times a year","Republican",6,TRUE,FALSE
"60",4,5,2,7,5,4,3,3,1,2,3,2,2,2,"Small Town","Country Person",15,85,15,85,0,100,85,15,4,6,6,1,4,4,2,"Male","High School","White",NA,"Republican",5,FALSE,TRUE
"61",3,1,3,3,2,3,3,1,3,2,2,3,2,3,"Suburb","Suburb Person",30,30,50,30,40,30,60,30,4,2,6,4,1,2,5,"Male","Bachelor's Degree","White","Once or twice a month","Independent",4,TRUE,FALSE
"62",7,4,4,6,4,1,3,1,5,4,3,1,3,1,"Small Town","Small Town Person",60,30,40,15,75,35,50,30,6,4,4,3,3,2,5,"Female","Graduate Degree","White",NA,"Democrat",2,FALSE,FALSE
"63",7,4,1,2,2,1,1,1,4,2,1,1,1,1,"City","Suburb Person",70,0,100,0,100,0,70,0,4,4,4,4,2,4,5,"Male","Graduate Degree","White","Every week","Democrat",1,TRUE,FALSE
"64",7,2,2,2,1,1,1,1,3,3,2,1,1,1,"Suburb","Suburb Person",70,15,85,0,70,40,30,15,6,3,4,5,1,1,5,"Female","Graduate Degree","Middle Eastern",NA,"Democrat",2,TRUE,FALSE
"65",6,1,2,4,3,1,3,1,3,2,3,1,2,1,"Suburb","Suburb Person",50,30,40,15,60,0,70,30,4,4,4,4,2,2,4,"Male","Bachelor's Degree","White",NA,"Democrat",3,TRUE,FALSE
"66",4,7,1,1,5,1,1,3,1,1,5,1,3,1,"City","City Person",0,85,100,0,100,0,NA,0,4,4,6,1,5,5,1,"Male","Some College","White",NA,"Republican",5,TRUE,FALSE
"67",7,6,4,3,4,1,1,1,3,1,3,1,1,1,"Small Town","Small Town Person",85,0,100,0,100,0,40,0,4,4,4,4,1,2,4,"Male","Some College","Middle Eastern","Once or twice a month","Democrat",3,TRUE,FALSE
"68",7,1,1,1,1,1,1,1,5,5,1,1,1,1,"City","City Person",40,0,15,0,40,0,30,0,1,1,4,5,1,1,5,"Female","Graduate Degree","White",NA,"Democrat",1,FALSE,TRUE
"69",6,2,1,1,1,1,3,1,5,4,1,2,1,1,"City","Something else",70,10,72,0,75,0,60,10,4,1,6,5,1,1,5,"Female","Graduate Degree","White","Almost every week","Democrat",1,TRUE,FALSE
"70",NA,3,7,4,1,3,2,1,3,5,3,3,2,1,"Small Town","City Person",70,30,70,0,60,0,30,30,7,7,6,5,1,1,5,"Female","Graduate Degree","Black",NA,"Democrat",2,TRUE,FALSE
"71",5,NA,1,1,1,1,3,1,3,3,3,3,3,1,"Small Town","Suburb Person",100,0,100,0,100,16,85,0,4,4,4,4,1,3,5,"Female","Graduate Degree","White",NA,"Democrat",1,TRUE,FALSE
"72",5,4,5,4,2,5,3,2,2,1,5,3,4,3,"Rural Area","Small Town Person",70,15,85,0,70,0,70,15,6,6,6,2,4,4,3,"Female","Some College","White",NA,"Democrat",2,TRUE,FALSE
"73",NA,5,3,5,5,1,1,3,3,1,2,1,3,1,"Small Town","Small Town Person",85,0,100,0,100,0,100,0,4,6,6,1,2,2,4,"Female","Some College","White",NA,"Democrat",1,FALSE,FALSE
"74",NA,3,4,4,4,3,1,1,1,2,4,1,1,1,"City","Country Person",NA,NA,NA,NA,70,0,70,NA,4,4,6,3,4,3,4,"Female","High School","White",NA,"Democrat",2,TRUE,FALSE
"75",3,7,NA,7,7,3,3,1,1,1,5,1,4,1,"Small Town","Small Town Person",0,75,15,85,15,85,100,0,6,6,5,1,5,5,1,"Male","Some College","White",NA,"Republican",7,FALSE,TRUE
"76",3,3,4,5,5,5,3,4,3,3,5,1,1,5,"Suburb","Country Person",25,15,40,15,50,50,60,25,4,6,2,4,3,3,4,"Male","Some College","Black",NA,"Independent",4,FALSE,FALSE
"77",7,6,7,1,1,1,1,1,1,5,1,2,1,1,"City","City Person",100,0,100,0,100,0,NA,0,1,1,7,2,1,1,5,"Female","Less than High School","Black","A few times a year","Democrat",1,FALSE,FALSE
"78",7,4,6,1,2,1,3,1,3,1,3,1,1,1,"Suburb","Suburb Person",100,30,85,0,7,0,5,30,6,4,4,2,1,1,5,"Male","Graduate Degree","White",NA,"Democrat",1,TRUE,FALSE
"79",4,5,4,5,4,4,1,1,1,1,1,1,1,3,"Suburb","Suburb Person",0,60,0,70,50,85,60,0,7,7,7,2,2,2,3,"Male","Some College","White",NA,"Republican",5,FALSE,TRUE
"80",7,7,1,1,5,3,1,1,3,1,3,1,1,2,"Rural Area","Suburb Person",100,0,100,0,100,0,85,0,4,4,4,1,4,5,5,"Female","High School","White",NA,"Democrat",1,TRUE,FALSE
"81",2,5,5,6,3,5,2,1,1,2,3,1,3,2,"Small Town","Country Person",15,60,30,30,50,30,85,15,6,7,7,4,2,4,4,"Male","Bachelor's Degree","White","Every week","Republican",5,FALSE,TRUE
"82",2,6,7,6,6,7,3,2,1,1,5,1,3,5,"City","City Person",0,100,0,100,0,100,100,0,4,6,5,2,4,4,2,"Female","Some College","White","Every week","Republican",7,FALSE,TRUE
"83",5,NA,4,3,3,1,3,1,5,3,3,3,2,1,"Small Town","Small Town Person",70,0,70,0,100,0,80,0,6,6,6,5,1,1,4,"Female","Bachelor's Degree","White","Almost every week","Democrat",1,TRUE,FALSE
"84",5,3,3,3,3,2,1,1,3,3,3,3,2,3,"City","Suburb Person",70,60,85,30,100,0,40,70,4,4,4,4,2,2,4,"Female","Some College","Black","Once or twice a month","Independent",4,FALSE,FALSE
"85",5,4,3,3,1,2,1,1,5,4,1,1,1,1,"City","City Person",70,15,70,0,85,0,30,15,7,6,4,5,2,1,5,"Female","Bachelor's Degree","White","Once or twice a month","Democrat",2,TRUE,FALSE
"86",1,NA,1,2,4,1,2,2,1,2,3,3,1,1,"City","Suburb Person",85,15,100,0,100,0,50,15,4,5,7,1,2,5,2,"Female","Some College","Hispanic","A few times a year","Democrat",1,TRUE,FALSE
"87",6,5,2,2,2,2,3,1,2,2,3,2,3,3,"Suburb","Suburb Person",50,50,85,0,90,10,80,50,6,5,6,3,3,2,3,"Female","Graduate Degree","White",NA,"Independent",4,FALSE,FALSE
"88",5,4,1,2,2,2,3,2,3,4,2,3,1,1,"Small Town","Suburb Person",70,0,85,0,60,0,60,0,4,4,4,4,2,2,5,"Female","Bachelor's Degree","White",NA,"Democrat",3,TRUE,FALSE
"89",NA,6,NA,7,7,3,2,3,2,3,5,2,4,3,"Suburb","Suburb Person",0,100,0,100,60,100,NA,0,4,6,6,1,5,5,4,"Female","High School","White",NA,"Republican",7,FALSE,FALSE
"90",2,4,5,7,3,4,2,3,2,3,5,2,5,3,"City","Suburb Person",15,70,30,60,30,60,50,15,4,4,4,2,5,3,4,"Female","Bachelor's Degree","White",NA,"Republican",6,FALSE,TRUE
"91",1,3,5,6,7,5,3,3,1,3,5,2,3,3,"City","City Person",30,85,15,85,50,60,85,30,3,5,7,1,5,5,1,"Female","Graduate Degree","White","Every week","Republican",7,FALSE,FALSE
"92",5,NA,6,5,NA,2,3,1,1,1,4,3,3,1,"Suburb","Suburb Person",0,100,0,85,15,100,50,0,4,5,5,3,4,4,4,"Female","Bachelor's Degree","White",NA,"Republican",7,FALSE,TRUE
"93",5,5,5,4,NA,6,1,1,1,1,1,3,1,3,"Small Town","Country Person",0,100,0,100,0,100,100,0,6,4,7,1,3,3,2,"Female","Some College","White","Every week","Republican",7,FALSE,TRUE
"94",6,5,1,3,3,2,2,3,4,3,3,3,2,2,"City","City Person",70,30,70,0,70,0,NA,30,4,2,4,5,2,4,5,"Male","High School","White",NA,"Democrat",1,TRUE,FALSE
"95",4,5,3,5,7,5,3,5,1,1,5,2,5,3,"Small Town","Small Town Person",0,60,30,60,0,70,100,0,4,7,7,1,5,2,1,"Male","Bachelor's Degree","Native American",NA,"Independent",4,FALSE,TRUE
"96",NA,7,6,6,7,5,2,3,1,1,3,1,3,2,"Suburb","Small Town Person",15,70,40,100,30,100,100,15,4,4,4,1,2,2,3,"Female","Graduate Degree","White","Every week","Republican",7,FALSE,TRUE
"97",5,3,1,3,3,3,3,1,3,3,3,1,2,2,"Small Town","Small Town Person",60,15,70,0,85,0,50,15,4,3,7,4,1,3,5,"Male","Some College","White",NA,"Democrat",3,TRUE,FALSE
"98",4,4,2,2,1,1,1,1,5,1,3,5,1,1,"Suburb","Suburb Person",50,0,100,0,100,0,30,0,4,4,6,5,1,1,5,"Female","Bachelor's Degree","Hispanic",NA,"Democrat",2,TRUE,FALSE
"99",4,4,2,4,2,2,3,1,4,3,3,1,3,1,"Small Town","City Person",85,0,100,0,100,0,50,0,4,4,4,5,1,2,5,"Female","Bachelor's Degree","White",NA,"Democrat",1,TRUE,FALSE
"100",NA,6,7,NA,3,3,3,3,4,3,3,2,3,3,"Small Town","Small Town Person",70,60,60,30,60,40,50,70,4,4,4,4,3,4,5,"Female","Some College","White","Every week","Independent",4,TRUE,FALSE
"101",1,NA,6,5,7,2,5,2,4,1,2,2,1,2,"Small Town","Small Town Person",100,0,100,0,100,0,NA,0,4,4,4,1,5,5,1,"Female","High School","Middle Eastern","Once or twice a month","Democrat",1,FALSE,FALSE
"102",3,2,3,2,3,2,NA,3,3,3,3,3,NA,NA,"Suburb","Small Town Person",60,50,60,15,60,40,100,60,5,4,4,2,2,2,2,"Female","High School","White","Never","Independent",4,FALSE,FALSE
"103",7,2,NA,2,1,NA,1,1,4,2,2,3,1,1,"Suburb","Suburb Person",85,50,70,0,85,0,50,50,5,5,5,5,1,1,5,"Female","Graduate Degree","White",NA,"Democrat",1,TRUE,FALSE
"104",4,NA,NA,6,7,NA,3,1,2,2,4,2,4,3,"Small Town","Country Person",15,85,NA,85,0,85,NA,15,6,6,7,1,5,4,2,"Female","Some College","White","Every week","Republican",7,FALSE,TRUE
"105",3,7,7,7,5,7,3,2,1,1,3,1,3,5,"Rural Area","Country Person",0,60,0,85,0,100,100,0,4,6,6,1,5,3,2,"Male","Bachelor's Degree","White","Every week","Republican",7,FALSE,TRUE
"106",6,NA,2,4,3,1,2,1,3,1,3,2,3,1,"Small Town","Small Town Person",85,15,100,0,100,0,70,15,4,6,7,3,2,2,4,"Female","Less than High School","White","Once or twice a month","Democrat",1,TRUE,FALSE
"107",3,6,5,7,6,6,1,4,1,2,4,3,3,4,"Rural Area","Country Person",0,85,0,100,0,85,NA,0,5,6,4,2,5,5,1,"Female","High School","White","A few times a year","Republican",7,FALSE,TRUE
"108",4,5,4,6,4,NA,3,2,1,2,3,2,3,3,"Small Town","Suburb Person",30,85,NA,85,0,100,85,30,4,4,4,1,3,3,2,"Female","High School","White","Every week","Republican",5,FALSE,TRUE
"109",3,4,6,6,4,4,3,4,2,3,4,2,3,4,"Small Town","Small Town Person",30,50,40,65,40,50,60,30,4,6,6,3,4,4,3,"Male","Some College","Native American","Almost every week","Republican",5,FALSE,TRUE
"110",4,1,4,NA,NA,2,3,1,4,3,3,3,3,2,"Rural Area","Country Person",70,10,85,0,95,0,80,70,6,6,4,4,2,2,4,"Female","Some College","White",NA,"Republican",6,TRUE,FALSE
"111",1,6,7,7,5,4,3,3,1,1,5,3,2,3,NA,NA,0,70,0,100,0,100,100,0,7,7,7,NA,NA,NA,NA,"Male",NA,"White","A few times a year","Republican",7,FALSE,FALSE
"112",3,4,7,4,4,7,3,3,2,2,4,2,3,5,"Small Town","Small Town Person",0,70,15,100,0,85,85,0,4,1,4,1,5,4,2,"Male","Graduate Degree","Asian",NA,"Republican",7,FALSE,TRUE
"113",4,6,4,6,5,4,3,3,1,1,4,1,3,2,"Small Town","City Person",30,60,40,70,60,30,100,60,6,6,5,3,2,3,2,"Male","High School","White",NA,"Democrat",2,FALSE,FALSE
"114",3,5,6,5,4,3,1,1,1,1,2,2,1,2,"Rural Area","Country Person",0,70,15,100,0,85,70,0,6,6,6,1,2,4,2,"Male","Some College","White","Once or twice a month","Republican",7,FALSE,TRUE
"115",2,3,4,5,7,4,3,3,2,2,3,2,3,3,"City","City Person",30,70,15,70,15,50,NA,30,4,6,4,2,2,5,4,"Male","Bachelor's Degree","White","Every week","Republican",6,FALSE,FALSE
"116",NA,3,7,7,4,NA,3,2,1,3,3,3,4,3,"Small Town","Small Town Person",60,100,50,85,50,100,NA,60,4,4,4,3,3,3,3,"Female","Graduate Degree","Hispanic","Once or twice a month","Republican",7,FALSE,TRUE
"117",4,5,3,1,1,1,2,3,3,3,3,1,1,1,"City","Country Person",85,15,100,0,100,0,85,15,7,5,7,5,1,1,5,"Female","Some College","Black","Once or twice a month","Democrat",1,TRUE,FALSE
"118",4,7,7,7,7,5,2,3,1,1,5,3,3,3,"Suburb","City Person",0,85,0,100,0,100,70,0,6,6,6,1,5,5,1,"Male","Graduate Degree","Native American","Every week","Republican",7,FALSE,TRUE
"119",6,5,5,4,1,5,2,2,3,4,2,3,1,1,"City","City Person",50,50,60,0,85,0,NA,50,3,4,5,4,2,1,4,"Male","Some College","Black","A few times a year","Democrat",3,TRUE,FALSE
"120",2,6,7,6,5,6,3,3,1,2,4,1,3,4,"Suburb","Suburb Person",0,70,0,85,0,100,85,0,4,4,4,2,3,4,3,"Male","Graduate Degree","White",NA,"Republican",6,FALSE,FALSE
"121",2,7,6,7,3,6,3,3,1,3,3,2,3,3,"Rural Area","Small Town Person",15,70,15,100,15,100,85,15,4,4,6,2,3,4,4,"Male","Graduate Degree",NA,"Once or twice a month","Republican",7,FALSE,TRUE
"122",7,4,1,NA,NA,NA,3,1,3,1,3,1,1,1,"City","City Person",NA,50,NA,NA,86,16,50,50,4,4,4,1,2,2,4,"Male","Some College","Hispanic",NA,"Democrat",1,FALSE,FALSE
"123",2,6,6,7,7,7,1,1,1,5,2,2,1,1,NA,NA,95,100,100,50,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,"Male","Less than High School","Hispanic","Almost every week","Democrat",1,FALSE,FALSE
"124",NA,6,2,NA,NA,4,2,3,1,1,4,1,1,2,"City","City Person",40,60,15,80,30,60,50,40,3,4,4,1,5,5,2,"Male","Some College","White",NA,"Republican",6,FALSE,FALSE
"125",7,3,NA,1,1,1,1,3,5,3,2,1,1,1,"Rural Area","Country Person",60,60,50,70,60,85,NA,60,4,4,4,5,1,1,5,"Female","High School","Black","Almost every week","Independent",4,FALSE,FALSE
